TractFIPS,CityFIPS,MeasureId,Data_Value
09001070100,0908000,ACCESS2,0.101
09001070100,0908000,ARTHRITIS,0.203
09001070100,0908000,BINGE,0.204
09001070100,0908000,BPHIGH,0.243
09001070100,0908000,BPMED,0.712
09001070100,0908000,CANCER,0.061
09001070100,0908000,CASTHMA,0.095
09001070100,0908000,CHD,0.049
09001070100,0908000,CHECKUP,0.675
09001070100,0908000,CHOLSCREEN,0.787
09001070100,0908000,COLON_SCREEN,0.68
09001070100,0908000,COPD,0.049
09001070100,0908000,COREM,0.341
09001070100,0908000,COREW,0.38
09001070100,0908000,CSMOKING,0.15
09001070100,0908000,DENTAL,0.742
09001070100,0908000,DIABETES,0.071
09001070100,0908000,HIGHCHOL,0.325
09001070100,0908000,KIDNEY,0.023
09001070100,0908000,LPA,0.221
09001070100,0908000,MAMMOUSE,0.787
09001070100,0908000,MHLTH,0.112
09001070100,0908000,OBESITY,0.24
09001070100,0908000,PAPTEST,0.846
09001070100,0908000,PHLTH,0.098
09001070100,0908000,SLEEP,0.325
09001070100,0908000,STROKE,0.023
09001070100,0908000,TEETHLOST,0.085
09001070200,0908000,ACCESS2,0.186
09001070200,0908000,ARTHRITIS,0.202
09001070200,0908000,BINGE,0.186
09001070200,0908000,BPHIGH,0.281
09001070200,0908000,BPMED,0.714
09001070200,0908000,CANCER,0.048
09001070200,0908000,CASTHMA,0.105
09001070200,0908000,CHD,0.051
09001070200,0908000,CHECKUP,0.683
09001070200,0908000,CHOLSCREEN,0.735
09001070200,0908000,COLON_SCREEN,0.606
09001070200,0908000,COPD,0.052
09001070200,0908000,COREM,0.26
09001070200,0908000,COREW,0.303
09001070200,0908000,CSMOKING,0.185
09001070200,0908000,DENTAL,0.611
09001070200,0908000,DIABETES,0.102
09001070200,0908000,HIGHCHOL,0.334
09001070200,0908000,KIDNEY,0.024
09001070200,0908000,LPA,0.288
09001070200,0908000,MAMMOUSE,0.781
09001070200,0908000,MHLTH,0.136
09001070200,0908000,OBESITY,0.295
09001070200,0908000,PAPTEST,0.816
09001070200,0908000,PHLTH,0.124
09001070200,0908000,SLEEP,0.394
09001070200,0908000,STROKE,0.028
09001070200,0908000,TEETHLOST,0.143
09001070300,0908000,ACCESS2,0.412
09001070300,0908000,ARTHRITIS,0.205
09001070300,0908000,BINGE,0.125
09001070300,0908000,BPHIGH,0.301
09001070300,0908000,BPMED,0.632
09001070300,0908000,CANCER,0.028
